"X_id","blueWins"
"KR_5511863037",1
"KR_5507348939",0
"KR_5516425562",0
"KR_5505654944",1
"KR_5505740125",1
"KR_5517155241",1
"KR_5517135252",1
"KR_5501600024",1
"KR_5513034147",0
"KR_5513926569",0
"KR_5514116180",0
"KR_5516492413",1
"KR_5517094298",1
"KR_5515863893",1
"KR_5516345100",1
"KR_5507565091",0
"KR_5506580873",0
"KR_5517407177",0
"KR_5515057293",0
"KR_5517237458",0
"KR_5517339347",0
"KR_5474023671",0
"KR_5516143409",1
"KR_5516875071",1
"KR_5515966250",1
"KR_5516058084",1
"KR_5510377053",0
"KR_5516139872",0
"KR_5507662543",1
"KR_5516002195",1
"KR_5505539614",0
"KR_5512328896",1
"KR_5515014593",0
"KR_5509496474",1
"KR_5513692802",0
"KR_5517530878",1
"KR_5496117598",0
"KR_5512721512",1
"KR_5515143050",1
"KR_5511192920",0
"KR_5480909076",1
"KR_5511214273",1
"KR_5514983999",1
"KR_5517123219",1
"KR_5509701685",1
"KR_5515124523",0
"KR_5507509874",0
"KR_5517267022",1
"KR_5514681260",1
"KR_5513734986",0
"KR_5512862578",0
"KR_5513780776",1
"KR_5511907190",0
"KR_5517038879",1
"KR_5516380468",1
"KR_5513735448",0
"KR_5513649308",1
"KR_5510788516",0
"KR_5513846924",0
"KR_5515315368",1
"KR_5513630182",1
"KR_5516385270",1
"KR_5511063795",1
"KR_5505921449",0
"KR_5517515023",0
"KR_5506218550",0
"KR_5516879589",0
"KR_5516803586",0
"KR_5501957388",0
"KR_5471484862",1
"KR_5476371225",0
"KR_5502258824",1
"KR_5516391420",0
"KR_5512302720",0
"KR_5514093276",0
"KR_5517279243",1
"KR_5508817843",0
"KR_5516258741",0
"KR_5517542497",1
"KR_5511633746",0
"KR_5513785748",0
"KR_5514020307",0
"KR_5515615030",0
"KR_5517338415",0
"KR_5498231358",1
"KR_5517650800",1
"KR_5508976260",0
"KR_5495609293",1
"KR_5514782428",1
"KR_5512055576",0
"KR_5507107576",0
"KR_5517468449",1
"KR_5513571449",0
"KR_5515849648",0
"KR_5476883221",0
"KR_5511624795",0
"KR_5510756222",1
"KR_5513947955",1
"KR_5517359334",1
"KR_5517098391",1
"KR_5509729921",1
"KR_5515241467",1
"KR_5516196202",0
"KR_5516466562",1
"KR_5506573266",1
"KR_5515659593",0
"KR_5517278918",1
"KR_5517352260",1
"KR_5517686829",1
"KR_5514175449",0
"KR_5394776493",1
"KR_5517589152",0
"KR_5497112747",1
"KR_5516383166",0
"KR_5516468355",1
"KR_5516832361",0
"KR_5514169855",0
"KR_5510723253",1
"KR_5516274611",1
"KR_5512598129",0
"KR_5499025422",0
"KR_5517352758",1
"KR_5511622414",0
"KR_5515615137",1
"KR_5514697692",1
"KR_5393339939",0
"KR_5512340655",0
"KR_5514747304",1
"KR_5506803572",1
"KR_5517018802",0
"KR_5514632359",1
"KR_5515822058",0
"KR_5483831272",0
"KR_5512331778",0
"KR_5516126338",1
"KR_5514119025",1
"KR_5516137098",1
"KR_5515143233",1
"KR_5517659640",1
"KR_5515241291",1
"KR_5517226237",1
"KR_5513711764",0
"KR_5513199928",0
"KR_5495832148",0
"KR_5515133755",1
"KR_5515795961",1
"KR_5494679988",1
"KR_5507979036",0
"KR_5517111725",0
"KR_5504778001",0
"KR_5512385124",1
"KR_5514592687",0
"KR_5515989149",1
"KR_5508683034",1
"KR_5516163579",1
"KR_5516994866",0
"KR_5481309733",0
"KR_5514182870",0
"KR_5512613359",1
"KR_5472390780",0
"KR_5487481197",1
"KR_5449882976",1
"KR_5501579766",0
"KR_5476660872",1
"KR_5395649732",0
"KR_5510774036",1
"KR_5517696132",0
"KR_5499409771",0
"KR_5509634235",1
"KR_5512308151",0
"KR_5503265423",1
"KR_5506146420",0
"KR_5494081423",0
"KR_5501844500",0
"KR_5517016950",0
"KR_5516618077",1
"KR_5517371150",0
"KR_5495192682",0
"KR_5512596752",0
"KR_5479706405",0
"KR_5515064263",1
"KR_5488894084",0
"KR_5484943024",1
"KR_5510745288",0
"KR_5514673210",1
"KR_5495559016",0
"KR_5515874846",0
"KR_5515722619",1
"KR_5475107652",0
"KR_5515294011",1
"KR_5517415484",1
"KR_5517038772",0
"KR_5509975813",0
"KR_5515798052",1
"KR_5511542500",1
"KR_5517169084",0
"KR_5517155475",0
"KR_5517638084",0
"KR_5503265123",1
"KR_5516820498",0
"KR_5515713998",1
"KR_5496354222",1
"KR_5503164305",1
"KR_5508654494",0
"KR_5514571248",1
"KR_5494455434",1
"KR_5516648150",1
"KR_5458823968",0
"KR_5499504683",0
"KR_5517103407",1
"KR_5512712031",1
"KR_5515473075",0
"KR_5517551015",1
"KR_5513930413",0
"KR_5515741896",0
"KR_5515445766",1
"KR_5516213052",0
"KR_5517424690",1
"KR_5516060956",1
"KR_5514585759",0
"KR_5503194198",1
"KR_5513984651",0
"KR_5513683516",1
"KR_5509718740",1
"KR_5510354021",0
"KR_5501204969",0
"KR_5510098790",1
"KR_5516166303",0
"KR_5486523235",0
"KR_5463492778",0
"KR_5472436773",0
"KR_5511053258",0
"KR_5513523795",1
"KR_5453805577",0
"KR_5483221381",0
"KR_5446353072",0
"KR_5480538530",0
"KR_5485654935",0
"KR_5516509668",0
"KR_5512314290",0
"KR_5516320750",0
"KR_5514420903",0
"KR_5492662470",1
"KR_5335969280",1
"KR_5516271717",0
"KR_5516637513",1
"KR_5516170766",0
"KR_5516648126",1
"KR_5516049848",1
"KR_5516379832",0
"KR_5517171272",1
"KR_5513802378",1
"KR_5509768933",0
"KR_5513668576",0
"KR_5516350390",1
"KR_5511705245",0
"KR_5514926122",0
"KR_5516271482",1
"KR_5517157904",1
"KR_5516250566",1
"KR_5516250413",1
"KR_5505644789",1
"KR_5444500249",0
"KR_5512187412",0
"KR_5515131965",1
"KR_5511261826",1
"KR_5510372736",0
"KR_5512420910",0
"KR_5501083897",0
"KR_5496989509",1
"KR_5516095802",0
"KR_5510069219",1
"KR_5506979367",1
"KR_5480655309",0
"KR_5517320599",0
"KR_5479932104",1
"KR_5503612488",0
"KR_5516114543",1
"KR_5517544506",1
"KR_5517396930",0
"KR_5511519592",1
"KR_5516179542",0
"KR_5514929886",1
"KR_5513257724",0
"KR_5516633547",0
"KR_5506109143",1
"KR_5517503885",0
"KR_5516229951",1
"KR_5517302210",1
"KR_5510647414",0
"KR_5490561832",1
"KR_5517553195",0
"KR_5512523237",1
"KR_5511472016",1
"KR_5516329677",0
"KR_5511702892",0
"KR_5513534998",0
"KR_5516809061",0
"KR_5498270679",1
"KR_5512179873",1
"KR_5513840443",0
"KR_5466007818",1
"KR_5506142054",1
"KR_5495892099",0
"KR_5511531470",1
"KR_5504101537",1
"KR_5513711773",0
"KR_5511841920",1
"KR_5515954096",0
"KR_5513969092",1
"KR_5515119380",1
"KR_5517282627",1
"KR_5496952769",1
"KR_5517174446",1
"KR_5515726656",1
"KR_5516826809",0
"KR_5514153300",0
"KR_5514635804",1
"KR_5513889896",1
"KR_5509931959",0
"KR_5515144792",1
"KR_5513963263",1
"KR_5481989264",1
"KR_5512734866",0
"KR_5502239753",1
"KR_5511469947",1
"KR_5481993905",0
"KR_5498509992",1
"KR_5512505232",0
"KR_5516278188",1
"KR_5516244525",0
"KR_5387363028",1
"KR_5514460881",0
"KR_5510369033",0
"KR_5512844104",0
"KR_5512628585",1
"KR_5451237654",0
"KR_5508229911",0
"KR_5442556721",0
"KR_5514720918",0
"KR_5490331398",0
"KR_5486713076",1
"KR_5516167224",1
"KR_5497210248",1
"KR_5416587607",0
"KR_5517266305",1
